player,position,age,team,games,games started,minutes player,field goals per game,field goal attempts per game,field goal percentage,3-point field goals per game,3-point field goal attempted per game,3-point goal percentage,2-point field goals per game,2-point field goals attempted per game,2-point field goal percentage,effective field goal percentage,free throws per game,free throw attempts per game,free throw percentage,offensive rebounds per game,defensive rebounds per game,total rebounds per game,assists per game,steals per game,blocks per game,turnovers per game,personal fouls per game,points per game,3 point attempt rate,assist percentage,block percentage,box plus minus,defensive box plus minux,defensive rebound percentage,defensive win shares,free throw attempt rate,offensive box plus minux,offensive rebound percentage,offensive win shares,player efficiency rating,steal percentage,turnover percentage,total rebound percentage,true shooting percentage,usage percentage,value over replacement player,win shares,win shares per 48 minutes,rating
LeBron James,SF,27,MIA,62,62,37.5,10,18.9,0.531,0.9,2.4,0.362,9.1,16.5,0.556,0.554,6.2,8.1,0.771,1.5,6.4,7.9,6.2,1.9,0.8,3.4,1.5,27.1,0.127,33.6,1.7,11,2.7,19.7,4.5,0.429,8.3,5,10,30.7,2.6,13.3,12.6,0.605,32,7.6,14.5,0.298,99
Kobe Bryant,SG,23,LAL,80,80,38.3,9.4,20,0.469,0.4,1.7,0.25,9,18.3,0.489,0.479,6.1,7.4,0.829,1.4,4.1,5.5,5.5,1.5,0.4,2.8,2.9,25.2,0.083,25.9,0.8,4.4,0.1,11.7,3.8,0.369,4.4,4.1,8.9,23.2,2,10.7,7.9,0.544,30.4,5,12.7,0.199,99
Kobe Bryant,SG,24,LAL,82,82,41.5,10.6,23.5,0.451,1.5,4,0.383,9.1,19.5,0.465,0.483,7.3,8.7,0.843,1.3,5.6,6.9,5.9,2.2,0.8,3.5,2.7,30,0.168,27.2,1.4,6.4,0.3,15.3,4,0.371,6.1,3.5,11,26.2,2.8,11.4,9.3,0.55,32.9,7.1,14.9,0.21,99
Tim Duncan,PF,26,SAS,81,81,39.3,8.8,17.2,0.513,0.1,0.3,0.273,8.7,16.9,0.517,0.515,5.6,7.8,0.71,3.2,9.7,12.9,3.9,0.7,2.9,3.1,2.9,23.3,0.016,19.5,5.2,7.4,4.2,27.3,6.9,0.455,3.3,9.9,9.5,26.9,0.9,12.9,19,0.564,28,7.6,16.5,0.248,99
Kevin Garnett,PF,26,MIN,82,82,40.5,9.1,18.1,0.502,0.2,0.9,0.282,8.8,17.2,0.513,0.508,4.6,6.1,0.751,3,10.5,13.4,6,1.4,1.6,2.8,2.4,23,0.048,25.8,2.8,8.7,3.7,28.5,5.8,0.339,5,8.6,9.8,26.4,1.8,11.9,18.8,0.553,26.4,9,15.6,0.225,99
Kobe Bryant,SG,25,LAL,65,64,37.6,7.9,18.1,0.438,1.1,3.3,0.327,6.8,14.8,0.463,0.468,7,8.2,0.852,1.6,3.9,5.5,5.1,1.7,0.4,2.6,2.7,24,0.184,24.4,0.8,5.7,0.2,12,3,0.452,5.5,4.7,7.8,23.7,2.4,10.8,8.3,0.551,29.1,4.7,10.7,0.21,99
Kevin Garnett,PF,27,MIN,82,82,39.4,9.8,19.6,0.499,0.1,0.5,0.256,9.7,19.1,0.506,0.502,4.5,5.7,0.791,3,10.9,13.9,5,1.5,2.2,2.6,2.5,24.2,0.027,24.4,4,9.9,5,30,8,0.289,4.9,9.1,10.4,29.4,2,10.5,20.1,0.547,29.6,9.8,18.3,0.272,99
Kobe Bryant,SG,26,LAL,66,66,40.7,8.7,20.1,0.433,2,5.9,0.339,6.7,14.2,0.472,0.482,8.2,10.1,0.816,1.4,4.5,5.9,6,1.3,0.8,4.1,2.6,27.6,0.292,28.5,1.4,4.6,-1,12.4,1,0.502,5.6,4,7.1,23.3,1.7,14.3,8.2,0.563,31.7,4.5,8.1,0.145,99
Tim Duncan,PF,28,SAS,66,66,33.4,7.8,15.8,0.496,0,0.1,0.333,7.8,15.7,0.498,0.498,4.6,6.9,0.67,3.1,8,11.1,2.7,0.7,2.6,1.9,2.2,20.3,0.009,16.1,5.7,6.4,4.5,28.2,5.7,0.437,1.9,10.7,5.5,27,1.1,9.3,19.4,0.54,28.9,4.7,11.2,0.245,99
Kevin Garnett,PF,28,MIN,82,82,38.1,8.3,16.6,0.502,0.1,0.3,0.24,8.3,16.3,0.507,0.504,5.4,6.7,0.811,3,10.5,13.5,5.7,1.5,1.4,2.7,2.5,22.2,0.018,27.1,2.6,9.7,4.4,30.2,6,0.404,5.3,9.5,10.1,28.2,2.1,12.2,20.3,0.567,27.1,9.3,16.1,0.248,99
