player,position,age,team,games,games started,minutes player,field goals per game,field goal attempts per game,field goal percentage,3-point field goals per game,3-point field goal attempted per game,3-point goal percentage,2-point field goals per game,2-point field goals attempted per game,2-point field goal percentage,effective field goal percentage,free throws per game,free throw attempts per game,free throw percentage,offensive rebounds per game,defensive rebounds per game,total rebounds per game,assists per game,steals per game,blocks per game,turnovers per game,personal fouls per game,points per game,3 point attempt rate,assist percentage,block percentage,box plus minus,defensive box plus minux,defensive rebound percentage,defensive win shares,free throw attempt rate,offensive box plus minux,offensive rebound percentage,offensive win shares,player efficiency rating,steal percentage,turnover percentage,total rebound percentage,true shooting percentage,usage percentage,value over replacement player,win shares,win shares per 48 minutes,rating
Steven Adams,C,22,OKC,80,80,25.2,3.3,5.3,0.613,0.0,0.0,,3.3,5.3,0.613,0.613,1.4,2.5,0.582,2.7,3.9,6.7,0.8,0.5,1.1,1.1,2.8,8.0,0.0,4.3,3.3,2.1,1.3,16.1,2.3,0.46,0.8,12.5,4.2,15.5,1.0,14.1,14.4,0.621,12.6,2.1,6.5,0.155,81
Alexis Ajinca,C,27,NOP,59,17,14.6,2.5,5.3,0.476,0.0,0.0,0.0,2.5,5.3,0.478,0.476,0.9,1.1,0.839,1.3,3.3,4.6,0.5,0.3,0.6,0.9,2.3,6.0,0.003,5.8,3.4,-4.5,-0.2,25.9,0.9,0.197,-4.3,9.3,0.2,13.8,1.1,13.6,17.3,0.514,20.4,-0.5,1.0,0.058,71
LaMarcus Aldridge,PF,30,SAS,74,74,30.6,7.2,14.1,0.513,0.0,0.2,0.0,7.2,13.9,0.521,0.513,3.5,4.1,0.858,2.4,6.2,8.5,1.5,0.5,1.1,1.3,2.0,18.0,0.015,8.1,2.8,1.8,1.1,22.2,4.5,0.289,0.7,9.2,5.6,22.4,0.9,7.8,15.9,0.565,25.9,2.2,10.1,0.215,86
Lavoy Allen,PF,26,IND,79,28,20.2,2.4,4.7,0.516,0.0,0.0,,2.4,4.7,0.516,0.516,0.6,0.9,0.63,2.1,3.3,5.4,1.0,0.3,0.5,0.9,1.9,5.4,0.0,7.1,2.1,-0.6,1.4,17.8,2.1,0.197,-2.1,11.1,1.6,12.4,0.8,14.6,14.5,0.532,13.0,0.6,3.7,0.11,70
Tony Allen,SG,34,MEM,64,57,25.3,3.4,7.3,0.458,0.2,0.7,0.357,3.1,6.7,0.468,0.474,1.4,2.2,0.652,1.6,3.0,4.6,1.1,1.7,0.3,1.2,2.7,8.4,0.09,6.9,1.0,-0.1,1.4,14.1,1.9,0.294,-1.5,7.0,0.5,12.9,3.5,12.8,10.4,0.505,16.8,0.8,2.4,0.072,78
Al-Farouq Aminu,SF,25,POR,82,82,28.5,3.6,8.8,0.416,1.5,4.3,0.361,2.1,4.5,0.468,0.503,1.4,1.9,0.737,1.2,4.9,6.1,1.7,0.9,0.6,1.5,2.1,10.2,0.485,8.8,1.8,0.2,0.7,18.6,2.3,0.217,-0.4,4.5,1.7,12.7,1.5,13.2,11.5,0.533,16.9,1.3,4.0,0.082,73
Justin Anderson,SF,22,DAL,55,9,11.8,1.3,3.2,0.406,0.4,1.5,0.265,0.9,1.7,0.533,0.469,0.8,1.0,0.8,0.3,2.1,2.4,0.5,0.3,0.5,0.4,0.8,3.8,0.474,6.8,3.2,-1.2,1.3,19.3,0.8,0.314,-2.5,3.1,0.3,12.3,1.5,10.8,11.2,0.522,15.8,0.1,1.1,0.083,74
Kyle Anderson,SF,22,SAS,78,11,16.0,1.8,3.8,0.468,0.2,0.5,0.324,1.6,3.3,0.488,0.488,0.8,1.1,0.747,0.3,2.8,3.1,1.6,0.8,0.4,0.8,1.2,4.5,0.125,13.7,1.8,1.8,3.7,19.4,2.8,0.281,-1.9,2.4,0.7,12.9,2.5,15.1,11.2,0.528,14.4,1.2,3.5,0.133,71
Giannis Antetokounmpo,PG,21,MIL,80,79,35.3,6.4,12.7,0.506,0.4,1.4,0.257,6.1,11.3,0.537,0.52,3.7,5.1,0.724,1.4,6.2,7.7,4.3,1.2,1.4,2.6,3.2,16.9,0.108,20.0,3.4,2.4,1.5,20.0,2.9,0.404,1.0,4.6,4.2,18.8,1.7,14.8,12.4,0.566,22.3,3.2,7.1,0.121,89
Carmelo Anthony,SF,31,NYK,72,72,35.1,7.9,18.2,0.434,1.5,4.3,0.339,6.4,13.8,0.463,0.474,4.6,5.6,0.829,1.4,6.4,7.7,4.2,0.9,0.5,2.4,2.5,21.8,0.237,21.9,1.1,2.6,-0.2,19.5,2.5,0.308,2.8,4.3,3.9,20.3,1.3,10.6,12.0,0.53,29.7,2.9,6.4,0.121,86
Trevor Ariza,SF,30,HOU,81,81,35.3,4.4,10.6,0.416,2.3,6.2,0.371,2.1,4.4,0.478,0.523,1.6,2.0,0.783,0.8,3.7,4.5,2.3,2.0,0.3,1.4,2.2,12.7,0.581,10.0,0.8,1.5,0.3,11.6,2.3,0.187,1.2,2.6,3.1,12.9,2.8,10.8,7.1,0.551,15.7,2.5,5.4,0.09,77
Darrell Arthur,PF,27,DEN,70,16,21.7,3.2,7.0,0.452,0.6,1.7,0.385,2.5,5.3,0.473,0.498,0.6,0.8,0.755,1.2,3.0,4.2,1.4,0.8,0.7,0.9,2.6,7.5,0.239,10.0,2.6,-0.3,0.8,15.4,1.3,0.108,-1.2,6.2,1.0,12.5,1.8,11.4,10.7,0.514,16.7,0.6,2.3,0.072,73
Omer Asik,C,29,NOP,68,64,17.3,1.5,2.9,0.533,0.0,0.0,,1.5,2.9,0.533,0.533,0.9,1.6,0.545,1.8,4.3,6.1,0.4,0.3,0.3,0.9,1.8,4.0,0.0,3.1,1.6,-4.2,-0.2,28.7,1.0,0.574,-4.0,10.9,0.7,11.0,0.9,19.7,19.5,0.551,11.4,-0.7,1.7,0.07,71
J.J. Barea,PG,31,DAL,74,16,22.5,4.3,9.6,0.446,1.4,3.5,0.385,2.9,6.1,0.481,0.516,1.0,1.3,0.771,0.4,1.7,2.1,4.1,0.4,0.0,1.5,1.5,10.9,0.366,31.5,0.1,-1.2,-2.8,8.3,0.7,0.135,1.6,1.7,2.1,15.4,0.8,13.0,5.0,0.536,23.8,0.3,2.8,0.082,77
Will Barton,SG,25,DEN,82,1,28.7,5.2,12.0,0.432,1.4,4.0,0.345,3.8,8.0,0.476,0.489,2.6,3.3,0.806,0.7,5.1,5.8,2.5,0.9,0.5,1.7,1.8,14.4,0.331,14.4,1.3,-0.1,-0.4,20.0,1.9,0.273,0.3,2.7,2.4,16.0,1.5,11.2,11.2,0.535,23.0,1.1,4.3,0.088,77
Aron Baynes,C,29,DET,81,1,15.2,2.4,4.7,0.505,0.0,0.0,0.0,2.4,4.7,0.508,0.505,1.6,2.0,0.764,1.7,3.0,4.7,0.6,0.3,0.6,0.8,1.9,6.3,0.005,6.6,3.2,-0.2,1.1,22.5,1.7,0.43,-1.3,11.9,2.4,17.8,0.9,12.8,17.0,0.563,18.5,0.6,4.1,0.158,72
Kent Bazemore,SF,26,ATL,75,68,27.8,4.3,9.7,0.441,1.5,4.1,0.357,2.8,5.6,0.502,0.517,1.6,2.0,0.815,0.4,4.7,5.1,2.3,1.3,0.5,1.8,2.3,11.6,0.421,12.7,1.4,0.3,1.6,18.0,3.8,0.208,-1.3,1.5,0.3,13.4,2.3,14.8,9.9,0.551,20.0,1.2,4.1,0.094,74
Bradley Beal,SG,22,WAS,55,35,31.1,6.5,14.5,0.449,1.9,4.9,0.387,4.6,9.6,0.481,0.515,2.5,3.2,0.767,0.7,2.7,3.4,2.9,1.0,0.2,2.0,2.1,17.4,0.339,15.6,0.5,-0.6,-1.6,9.8,1.3,0.22,1.0,2.6,1.4,15.5,1.5,11.3,6.2,0.547,25.3,0.6,2.7,0.076,84
