,first_name,last_name,age,year,team,position,games_played,games_started,minutes_played,minutes_per_game,field_goals_made,field_goals_attempted,field_goal_percentage,three_point_field_goals_made,three_point_field_goals_attempted,three_point_field_goal_percentage,two_point_field_goals_made,two_point_field_goals_attempted,two_point_field_goal_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,asisst_to_turnover_ratio,personal_fouls,points,points_per_game,rating
2921,Stephen,Curry,25,2013,GSW,PG,78,78,2846,36.48717949,652,1383,0.471438901,261,615,0.424390244,391,768,0.509114583,308,348,0.885057471,46,288,666,128,14,294,2.265306122,194,1873,24.01282051,93
2922,Chris,Paul,28,2013,LAC,PG,62,62,2171,35.01612903,406,870,0.466666667,78,212,0.367924528,328,658,0.498480243,295,345,0.855072464,38,230,663,154,4,145,4.572413793,157,1185,19.11290323,91
2923,Russell,Westbrook,25,2013,OKC,PG,46,46,1412,30.69565217,346,791,0.437420986,68,214,0.317757009,278,577,0.481802426,242,293,0.825938567,55,208,319,88,7,177,1.802259887,104,1002,21.7826087,91
2924,John,Wall,23,2013,WAS,PG,82,82,2980,36.34146341,579,1337,0.433059088,108,308,0.350649351,471,1029,0.457725948,317,394,0.804568528,38,295,721,149,40,295,2.444067797,219,1583,19.30487805,89
2925,Kyrie,Irving,21,2013,CLE,PG,71,71,2496,35.15492958,532,1237,0.430072757,123,344,0.35755814,409,893,0.458006719,291,338,0.860946746,52,207,433,108,23,190,2.278947368,163,1478,20.81690141,88
2926,Kyle,Lowry,27,2013,TOR,PG,79,79,2862,36.2278481,457,1080,0.423148148,190,500,0.38,267,580,0.460344828,313,385,0.812987013,88,281,586,121,15,194,3.020618557,267,1417,17.93670886,88
2927,Jeff,Teague,25,2013,ATL,PG,79,79,2542,32.17721519,456,1040,0.438461538,74,225,0.328888889,382,815,0.468711656,318,376,0.845744681,34,174,528,89,17,232,2.275862069,158,1304,16.50632911,87
2928,Damian,Lillard,23,2013,POR,PG,82,82,2937,35.81707317,553,1304,0.424079755,218,554,0.393501805,335,750,0.446666667,371,426,0.870892019,35,253,457,64,22,193,2.367875648,197,1695,20.67073171,87
2929,Mike,Conley,26,2013,MEM,PG,73,73,2446,33.50684932,463,1030,0.449514563,105,291,0.360824742,358,739,0.48443843,225,276,0.815217391,41,172,441,110,13,150,2.94,141,1256,17.20547945,87
2930,Derrick,Rose,25,2013,CHI,PG,10,10,311,31.1,58,164,0.353658537,16,47,0.340425532,42,117,0.358974359,27,32,0.84375,9,23,43,5,1,34,1.264705882,15,159,15.9,85
