,first_name,last_name,age,year,team,position,games_played,games_started,minutes_played,minutes_per_game,field_goals_made,field_goals_attempted,field_goal_percentage,three_point_field_goals_made,three_point_field_goals_attempted,three_point_field_goal_percentage,two_point_field_goals_made,two_point_field_goals_attempted,two_point_field_goal_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,asisst_to_turnover_ratio,personal_fouls,points,points_per_game,rating
479,Jason,Kidd,30,2003,NJN,PG,67,66,2450,36.56716418,368,959,0.383733055,94,293,0.320819113,274,666,0.411411411,206,249,0.827309237,85,343,618,122,14,214,2.887850467,110,1036,15.46268657,92
480,Dwyane,Wade,22,2003,MIA,PG,61,56,2126,34.85245902,371,798,0.464912281,16,53,0.301886792,355,745,0.476510067,233,312,0.746794872,85,162,275,86,34,196,1.403061224,140,991,16.24590164,92
481,Baron,Davis,24,2003,NOH,PG,67,66,2686,40.08955224,554,1402,0.395149786,187,582,0.321305842,367,820,0.447560976,237,352,0.673295455,66,221,501,158,27,215,2.330232558,178,1532,22.86567164,91
482,Mike,Bibby,25,2003,SAC,PG,82,82,2980,36.34146341,527,1170,0.45042735,148,378,0.391534392,379,792,0.478535354,304,373,0.815013405,67,210,444,112,18,175,2.537142857,146,1506,18.36585366,88
483,Stephon,Marbury,26,2003,NYK,PG,81,81,3254,40.17283951,598,1386,0.431457431,87,274,0.317518248,511,1112,0.459532374,356,436,0.816513761,58,205,719,129,9,249,2.887550201,172,1639,20.2345679,87
484,Steve,Francis,26,2003,HOU,PG,79,79,3194,40.43037975,450,1117,0.402864816,73,250,0.292,377,867,0.434832757,337,435,0.774712644,116,317,493,139,35,294,1.676870748,257,1310,16.58227848,87
485,Steve,Nash,29,2003,DAL,PG,78,78,2612,33.48717949,397,845,0.469822485,104,257,0.404669261,293,588,0.49829932,230,251,0.916334661,59,173,687,67,8,209,3.28708134,139,1128,14.46153846,86
486,Gilbert,Arenas,22,2003,WAS,PG,55,52,2066,37.56363636,358,914,0.391684902,125,333,0.375375375,233,581,0.401032702,237,317,0.747634069,55,199,275,103,12,226,1.216814159,176,1078,19.6,86
487,Chauncey,Billups,27,2003,DET,PG,78,78,2758,35.35897436,392,996,0.393574297,130,335,0.388059701,262,661,0.396369138,404,460,0.87826087,35,241,446,84,8,189,2.35978836,177,1318,16.8974359,85
488,Jason,Terry,26,2003,ATL,PG,81,78,3018,37.25925926,499,1196,0.41722408,146,421,0.346793349,353,775,0.455483871,215,260,0.826923077,49,287,437,124,16,229,1.908296943,192,1359,16.77777778,85
