player,position,age,team,games,games started,minutes player,field goals per game,field goal attempts per game,field goal percentage,3-point field goals per game,3-point field goal attempted per game,3-point goal percentage,2-point field goals per game,2-point field goals attempted per game,2-point field goal percentage,effective field goal percentage,free throws per game,free throw attempts per game,free throw percentage,offensive rebounds per game,defensive rebounds per game,total rebounds per game,assists per game,steals per game,blocks per game,turnovers per game,personal fouls per game,points per game,3 point attempt rate,assist percentage,block percentage,box plus minus,defensive box plus minux,defensive rebound percentage,defensive win shares,free throw attempt rate,offensive box plus minux,offensive rebound percentage,offensive win shares,player efficiency rating,steal percentage,turnover percentage,total rebound percentage,true shooting percentage,usage percentage,value over replacement player,win shares,win shares per 48 minutes,rating
Jeff Adrien,PF,25,HOU,8,0,7.9,0.9,2.0,0.438,0.0,0.0,,0.9,2.0,0.438,0.438,0.9,1.5,0.583,0.6,2.1,2.8,0.1,0.0,0.3,0.3,1.6,2.6,0.0,2.4,2.4,-7.7,-2.3,31.6,0.1,0.75,-5.4,9.1,0.1,11.2,0.0,8.6,20.3,0.493,16.8,-0.1,0.1,0.106,67
Arron Afflalo,SG,26,DEN,62,62,33.6,5.3,11.3,0.471,1.4,3.6,0.398,3.9,7.7,0.504,0.534,3.2,4.0,0.798,0.6,2.5,3.2,2.4,0.6,0.2,1.4,2.2,15.2,0.316,11.1,0.5,0.8,-1.6,8.5,0.6,0.353,2.5,2.3,4.7,14.7,0.9,9.5,5.5,0.584,19.1,1.5,5.3,0.121,74
Cole Aldrich,C,23,OKC,26,0,6.7,0.8,1.6,0.524,0.0,0.0,,0.8,1.6,0.524,0.524,0.5,0.5,0.929,0.5,1.3,1.8,0.1,0.3,0.6,0.3,0.8,2.2,0.0,2.7,6.7,0.3,2.7,21.6,0.4,0.333,-2.4,9.2,0.3,17.7,2.4,15.7,15.8,0.592,14.9,0.1,0.6,0.176,65
LaMarcus Aldridge,PF,26,POR,55,55,36.3,8.8,17.1,0.512,0.0,0.2,0.182,8.7,16.9,0.516,0.513,4.1,5.0,0.814,2.7,5.3,8.0,2.4,0.9,0.8,2.0,2.8,21.7,0.012,13.2,1.7,2.4,-0.2,17.5,1.6,0.291,2.7,8.6,5.4,22.7,1.3,9.5,12.9,0.56,27.0,2.2,7.0,0.169,85
Lavoy Allen,PF,22,PHI,41,15,15.2,1.9,4.1,0.473,0.0,0.0,,1.9,4.1,0.473,0.473,0.3,0.3,0.786,1.1,3.0,4.2,0.8,0.3,0.4,0.5,1.8,4.1,0.0,8.4,2.2,-1.3,1.8,22.2,1.2,0.084,-3.1,8.3,0.4,12.7,1.1,10.4,15.2,0.488,14.5,0.1,1.6,0.124,69
Ray Allen,SG,36,BOS,46,42,34.0,4.9,10.7,0.458,2.3,5.1,0.453,2.6,5.6,0.463,0.566,2.1,2.3,0.915,0.3,2.8,3.1,2.4,1.1,0.2,1.5,1.8,14.2,0.475,11.8,0.4,2.6,0.3,9.2,2.2,0.215,2.4,1.1,2.5,14.8,1.7,11.2,5.3,0.607,18.6,1.8,4.7,0.145,76
Tony Allen,SG,30,MEM,58,57,26.3,3.6,7.7,0.469,0.1,0.4,0.308,3.5,7.3,0.479,0.478,2.4,3.0,0.8,1.7,2.3,4.0,1.4,1.8,0.6,1.6,2.4,9.8,0.058,8.3,1.8,2.5,2.5,10.6,2.5,0.391,0.0,7.4,1.7,15.7,3.6,15.2,8.9,0.541,18.4,1.7,4.2,0.131,75
Al-Farouq Aminu,SF,21,NOH,66,21,22.4,2.3,5.5,0.411,0.2,0.7,0.277,2.1,4.8,0.431,0.429,1.3,1.7,0.754,1.4,3.2,4.7,1.0,0.9,0.5,1.4,2.1,6.0,0.129,7.2,1.9,-1.3,1.6,16.9,1.8,0.312,-3.0,7.8,-0.4,10.6,2.2,18.0,12.4,0.481,16.2,0.2,1.4,0.044,70
Lou Amundson,PF,29,IND,60,0,12.6,1.5,3.5,0.43,0.0,0.0,,1.5,3.5,0.43,0.43,0.6,1.4,0.427,1.6,2.1,3.7,0.2,0.5,0.7,0.8,2.1,3.6,0.0,3.0,4.6,-2.7,1.2,19.0,1.3,0.396,-3.9,14.1,-0.3,11.5,1.9,15.6,16.6,0.438,17.3,-0.1,1.0,0.062,64
Chris Andersen,C,33,DEN,32,1,15.2,1.8,3.4,0.546,0.0,0.0,,1.8,3.4,0.546,0.546,1.6,2.6,0.61,1.5,3.1,4.6,0.2,0.6,1.4,0.5,1.6,5.3,0.0,1.8,7.4,1.4,2.6,23.3,0.8,0.759,-1.2,11.9,1.0,18.9,2.0,10.6,17.8,0.583,14.8,0.4,1.9,0.183,75
