,first_name,last_name,age,year,team,position,games_played,games_started,minutes_played,minutes_per_game,field_goals_made,field_goals_attempted,field_goal_percentage,three_point_field_goals_made,three_point_field_goals_attempted,three_point_field_goal_percentage,two_point_field_goals_made,two_point_field_goals_attempted,two_point_field_goal_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,asisst_to_turnover_ratio,personal_fouls,points,points_per_game,rating
2143,Chris,Paul,26,2011,LAC,PG,60,60,2181,36.35,425,890,0.47752809,79,213,0.370892019,346,677,0.511078287,260,302,0.860927152,42,171,543,152,4,124,4.379032258,138,1189,19.81666667,94
2144,Derrick,Rose,23,2011,CHI,PG,39,39,1375,35.25641026,302,695,0.434532374,54,173,0.312138728,248,522,0.475095785,194,239,0.811715481,26,105,307,35,28,119,2.579831933,52,852,21.84615385,92
2145,Rajon,Rondo,25,2011,BOS,PG,53,53,1957,36.9245283,256,572,0.447552448,10,42,0.238095238,246,530,0.464150943,108,181,0.596685083,62,195,620,95,3,193,3.212435233,99,630,11.88679245,91
2146,Tony,Parker,29,2011,SAS,PG,60,60,1923,32.05,427,890,0.479775281,14,61,0.229508197,413,829,0.498190591,227,284,0.799295775,22,149,463,57,5,153,3.026143791,75,1095,18.25,90
2147,Russell,Westbrook,23,2011,OKC,PG,66,66,2331,35.31818182,578,1266,0.456556082,62,196,0.316326531,516,1070,0.482242991,340,413,0.823244552,96,205,362,112,21,239,1.514644351,147,1558,23.60606061,90
2148,Kyrie,Irving,19,2011,CLE,PG,51,51,1558,30.54901961,350,747,0.46854083,73,183,0.398907104,277,564,0.491134752,171,196,0.87244898,44,147,275,54,20,160,1.71875,110,944,18.50980392,89
2149,Stephen,Curry,23,2011,GSW,PG,26,23,732,28.15384615,145,296,0.489864865,55,121,0.454545455,90,175,0.514285714,38,47,0.808510638,15,73,138,39,8,65,2.123076923,62,383,14.73076923,85
2150,Deron,Williams,27,2011,NJN,PG,55,55,1999,36.34545455,391,961,0.406867846,115,342,0.33625731,276,619,0.445880452,257,305,0.842622951,23,160,481,67,20,219,2.196347032,121,1154,20.98181818,85
2151,John,Wall,21,2011,WAS,PG,66,66,2386,36.15151515,378,894,0.422818792,3,42,0.071428571,375,852,0.440140845,317,402,0.788557214,48,252,530,95,57,255,2.078431373,137,1076,16.3030303,85
2152,Jrue,Holiday,21,2011,PHI,PG,65,65,2196,33.78461538,360,834,0.431654676,65,171,0.380116959,295,663,0.44494721,94,120,0.783333333,57,155,290,103,18,135,2.148148148,137,879,13.52307692,83
2153,Nate,Robinson,27,2011,GSW,PG,51,9,1192,23.37254902,205,484,0.423553719,66,181,0.364640884,139,303,0.458745875,94,113,0.831858407,15,85,231,59,2,75,3.08,118,570,11.17647059,82
2154,Jarrett,Jack,28,2011,NOH,PG,45,39,1530,34.0,266,583,0.45626072,39,112,0.348214286,227,471,0.481953291,129,148,0.871621622,23,153,285,31,9,106,2.688679245,93,700,15.55555556,82
2155,Kyle,Lowry,25,2011,HOU,PG,47,38,1510,32.12765957,210,513,0.409356725,79,211,0.374407583,131,302,0.433774834,171,198,0.863636364,37,176,310,73,14,130,2.384615385,133,670,14.25531915,81
2156,Ty,Lawson,24,2011,DEN,PG,61,61,2124,34.81967213,374,767,0.487614081,73,200,0.365,301,567,0.530864198,178,216,0.824074074,54,173,401,82,6,149,2.691275168,94,999,16.37704918,80
2157,Goran,Dragic,25,2011,HOU,PG,66,28,1752,26.54545455,277,600,0.461666667,68,202,0.336633663,209,398,0.525125628,153,190,0.805263158,53,115,351,85,10,157,2.23566879,166,775,11.74242424,80
2158,Kemba,Walker,21,2011,CHA,PG,66,25,1792,27.15151515,281,767,0.366362451,69,226,0.305309735,212,541,0.391866913,168,213,0.788732394,30,204,289,60,20,119,2.428571429,79,799,12.10606061,80
2159,George,Hill,25,2011,IND,PG,50,9,1274,25.48,168,380,0.442105263,54,147,0.367346939,114,233,0.489270386,91,117,0.777777778,31,120,145,42,17,52,2.788461538,98,481,9.62,79
2160,Jose,Calderon,30,2011,TOR,PG,53,53,1799,33.94339623,218,477,0.457023061,59,159,0.371069182,159,318,0.5,60,68,0.882352941,19,141,468,47,3,104,4.5,94,555,10.47169811,79
2161,Brandon,Jennings,22,2011,MIL,PG,66,66,2331,35.31818182,469,1121,0.41837645,129,388,0.332474227,340,733,0.463847203,193,239,0.807531381,49,177,365,104,22,146,2.5,114,1260,19.09090909,79
2162,Jeff,Teague,23,2011,ATL,PG,66,66,2183,33.07575758,320,672,0.476190476,51,149,0.342281879,269,523,0.514340344,140,185,0.756756757,21,138,321,106,37,134,2.395522388,145,831,12.59090909,79
2163,Darren,Collison,24,2011,IND,PG,60,56,1878,31.3,230,523,0.439770554,34,94,0.361702128,196,429,0.456876457,127,153,0.830065359,30,157,287,49,14,114,2.51754386,101,621,10.35,79
2164,Isaiah,Thomas,22,2011,SAC,PG,65,37,1656,25.47692308,256,571,0.448336252,83,219,0.378995434,173,352,0.491477273,154,185,0.832432432,48,120,266,53,8,105,2.533333333,121,749,11.52307692,79
2165,Eric,Bledsoe,22,2011,LAC,PG,40,1,464,11.6,49,126,0.388888889,6,30,0.2,43,96,0.447916667,28,44,0.636363636,22,43,66,31,14,47,1.404255319,58,132,3.3,79
2166,Will,Bynum,29,2011,DET,PG,36,0,514,14.27777778,74,194,0.381443299,7,29,0.24137931,67,165,0.406060606,49,64,0.765625,10,46,66,23,3,54,1.222222222,61,204,5.666666667,78
2167,Raymond,Felton,27,2011,POR,PG,60,56,1906,31.76666667,261,642,0.406542056,62,203,0.305418719,199,439,0.453302961,100,124,0.806451613,27,122,390,78,10,170,2.294117647,122,684,11.4,77
2168,Jeremy,Lin,23,2011,NYK,PG,35,25,940,26.85714286,171,383,0.446475196,24,75,0.32,147,308,0.477272727,146,183,0.797814208,18,89,216,55,9,126,1.714285714,78,512,14.62857143,77
2169,Ricky,Rubio,21,2011,MIN,PG,41,31,1404,34.24390244,139,389,0.357326478,32,94,0.340425532,107,295,0.362711864,126,157,0.802547771,21,150,336,91,8,131,2.564885496,97,436,10.63414634,77
2170,Steve,Nash,37,2011,PHO,PG,62,62,1961,31.62903226,295,555,0.531531532,55,141,0.390070922,240,414,0.579710145,127,142,0.894366197,26,160,664,38,8,229,2.899563319,53,772,12.4516129,76
