player,position,age,team,games,games started,minutes player,field goals per game,field goal attempts per game,field goal percentage,3-point field goals per game,3-point field goal attempted per game,3-point goal percentage,2-point field goals per game,2-point field goals attempted per game,2-point field goal percentage,effective field goal percentage,free throws per game,free throw attempts per game,free throw percentage,offensive rebounds per game,defensive rebounds per game,total rebounds per game,assists per game,steals per game,blocks per game,turnovers per game,personal fouls per game,points per game,3 point attempt rate,assist percentage,block percentage,box plus minus,defensive box plus minux,defensive rebound percentage,defensive win shares,free throw attempt rate,offensive box plus minux,offensive rebound percentage,offensive win shares,player efficiency rating,steal percentage,turnover percentage,total rebound percentage,true shooting percentage,usage percentage,value over replacement player,win shares,win shares per 48 minutes,rating
Malik Allen,PF,25,MIA,45,6,13.7,1.8,4.4,0.419,0.0,0.0,,1.8,4.4,0.419,0.419,0.6,0.7,0.758,0.9,1.7,2.6,0.4,0.3,0.6,0.6,1.8,4.2,0.0,4.7,3.6,-4.6,0.2,14.7,0.8,0.167,-4.7,7.9,-0.1,10.5,1.1,11.3,11.3,0.449,18.3,-0.4,0.7,0.051,70
Ray Allen,SG,28,SEA,56,56,38.4,8.0,18.2,0.44,2.6,6.8,0.392,5.3,11.4,0.468,0.512,4.4,4.8,0.904,1.2,3.9,5.1,4.8,1.3,0.2,2.8,2.4,23.0,0.372,23.3,0.4,4.0,-1.8,11.8,0.4,0.266,5.9,3.8,6.5,21.7,1.8,12.1,7.8,0.566,27.8,3.3,6.9,0.153,92
Rafer Alston,PG,27,MIA,82,28,31.5,3.5,9.3,0.376,2.0,5.3,0.371,1.5,4.0,0.382,0.481,1.3,1.6,0.769,0.3,2.4,2.8,4.5,1.4,0.2,1.6,2.6,10.2,0.568,24.9,0.6,1.2,-0.4,9.1,2.8,0.175,1.6,1.2,3.1,13.7,2.4,13.5,5.1,0.509,17.3,2.1,5.9,0.11,79
Chris Andersen,PF,25,DEN,71,0,14.5,1.3,2.9,0.443,0.0,0.0,0.0,1.3,2.8,0.446,0.443,0.9,1.5,0.589,1.3,2.9,4.2,0.5,0.5,1.6,0.7,1.7,3.4,0.005,5.1,7.8,0.5,4.2,23.3,1.9,0.527,-3.7,9.6,0.5,14.4,1.7,16.1,16.3,0.486,12.7,0.7,2.4,0.111,71
Derek Anderson,SG,29,POR,51,46,35.5,4.5,12.0,0.376,1.5,5.1,0.305,3.0,6.9,0.428,0.44,3.0,3.7,0.824,0.5,3.1,3.6,4.5,1.3,0.1,1.8,1.5,13.6,0.423,21.1,0.1,0.3,-1.6,10.2,0.9,0.307,1.9,1.7,2.7,15.1,2.0,11.5,6.0,0.499,20.5,1.1,3.6,0.097,78
Kenny Anderson,PG,33,IND,44,31,20.6,2.6,5.8,0.441,0.0,0.1,0.25,2.5,5.7,0.444,0.443,0.8,1.1,0.729,0.4,1.4,1.8,2.8,0.6,0.1,1.1,1.7,6.0,0.016,24.2,0.4,-2.6,-0.4,8.2,1.1,0.188,-2.3,2.5,0.4,11.1,1.6,15.3,5.3,0.473,17.1,-0.1,1.5,0.079,72
Shandon Anderson,SG,30,NYK,80,37,24.7,3.0,7.1,0.422,0.5,1.6,0.281,2.5,5.5,0.463,0.454,1.5,2.0,0.764,0.7,2.1,2.8,1.5,0.9,0.2,1.5,2.3,7.9,0.227,10.2,0.7,-1.7,-0.1,9.7,1.5,0.285,-1.6,3.1,0.2,10.1,1.8,15.7,6.5,0.5,17.7,0.1,1.7,0.042,70
Carmelo Anthony,SF,19,DEN,82,82,36.5,7.6,17.9,0.426,0.8,2.6,0.322,6.8,15.3,0.444,0.449,5.0,6.4,0.777,2.2,3.8,6.1,2.8,1.2,0.5,3.0,2.7,21.0,0.146,13.8,1.0,0.1,-1.2,12.1,2.4,0.358,1.2,6.8,3.7,17.6,1.7,12.7,9.4,0.509,28.5,1.6,6.1,0.098,85
Gilbert Arenas,PG,22,WAS,55,52,37.6,6.5,16.6,0.392,2.3,6.1,0.375,4.2,10.6,0.401,0.46,4.3,5.8,0.748,1.0,3.6,4.6,5.0,1.9,0.2,4.1,3.2,19.6,0.364,25.5,0.4,1.1,-1.1,11.1,1.5,0.347,2.1,2.9,1.1,16.0,2.6,17.7,6.9,0.512,27.4,1.6,2.6,0.061,86
Darrell Armstrong,PG,35,NOH,79,22,28.4,3.7,9.3,0.395,1.7,5.4,0.315,2.0,3.9,0.508,0.487,1.6,1.8,0.854,0.8,2.1,2.9,3.9,1.7,0.2,2.0,1.9,10.6,0.583,24.3,0.5,1.9,-0.3,8.5,2.5,0.196,2.3,3.1,2.8,15.6,3.2,16.2,5.7,0.525,19.4,2.2,5.3,0.114,75
Carlos Arroyo,PG,24,UTA,71,71,28.3,4.8,10.8,0.441,0.5,1.6,0.325,4.2,9.2,0.462,0.466,2.5,3.2,0.804,0.6,2.0,2.6,5.0,0.9,0.1,2.2,2.3,12.6,0.152,34.6,0.2,-0.3,-2.5,9.0,1.2,0.293,2.2,2.5,3.5,16.8,1.7,15.2,5.7,0.517,23.7,0.9,4.7,0.112,74
